Name,Slug,Community (Slug),Bedrooms,Bathrooms,Square Feet,Highlights,Plan Images,Spec / PDF,Accessible Variant,Starting Rate (Display),CTA Label,CTA Anchor / URL,Sort Priority
Studio – Assisted Living,studio-assisted-living-columbine,the-gardens-on-columbine,0,1,364,Cozy open-concept layout with private bath and kitchenette.,,,FALSE,"Starting at $5,245/mo",Ask Availability,#tour,1
One Bedroom – Assisted Living,one-bedroom-assisted-living-columbine,the-gardens-on-columbine,1,1,450,Spacious one-bedroom with separate living area and private bath.,,,TRUE,"Starting at $5,700/mo",Ask Availability,#tour,2
Studio – Memory Care,studio-memory-care-columbine,the-gardens-on-columbine,0,1,340,Secure memory care suite with private bath for safety and comfort.,,,FALSE,"Starting at $8,500/mo",Ask Availability,#tour,3
Studio – Assisted Living,studio-assisted-living-quail,the-gardens-on-quail,0,1,350,Compact private suite with accessible bathroom and kitchenette.,,,FALSE,"Starting at $5,770/mo",Ask Availability,#tour,1
One Bedroom – Assisted Living,one-bedroom-assisted-living-quail,the-gardens-on-quail,1,1,485,"Comfortable one-bedroom with living area, bedroom, and kitchenette.",,,TRUE,"Starting at $6,500/mo",Ask Availability,#tour,2
Two Bedroom – Assisted Living,two-bedroom-assisted-living-quail,the-gardens-on-quail,2,1,705,Two-bedroom layout with Jack & Jill bath — great for companions.,,,FALSE,"Starting at $7,500/mo",Ask Availability,#tour,3
Studio – Assisted Living,studio-assisted-living-goldenpond,golden-pond,0,1,370,Cozy studio with private bath and kitchenette; easy to navigate.,https://cdn.prod.website-files.com/64b0cfee8f0d1851d628822b/64c15bf3aefb756832171b4d_standard.webp,,TRUE,"Starting at $4,500/mo",Ask Availability,#tour,1
One Bedroom – Independent Living,one-bedroom-independent-living-goldenpond,golden-pond,1,1,700,Bright one-bedroom with full kitchen and mountain views.,https://cdn.prod.website-files.com/64b0cfee8f0d1851d628822b/64c157140e24344541e96a3d_i-1.webp,,FALSE,"Starting at $3,855/mo",Ask Availability,#tour,2
Two Bedroom – Assisted Living,two-bedroom-assisted-living-goldenpond,golden-pond,2,2,1000,Large two-bedroom assisted living apartment with two baths.,https://cdn.prod.website-files.com/64b0cfee8f0d1851d628822b/64c15b04b0f0bd266146ca72_al-2bedroom-size.webp,,FALSE,"Starting at $6,000/mo",Ask Availability,#tour,3
Studio – Assisted Living,studio-assisted-living-stonebridge,stonebridge-assisted-living,0,1,450,Open studio with ADA-compliant bath and kitchenette.,https://cdn.prod.website-files.com/65cdea0cc4a584943a230b87/661e61c33fb6612bcdd3143a_2867.webp,,TRUE,"Starting at $5,935/mo",Ask Availability,#tour,1
One Bedroom – Assisted Living,one-bedroom-assisted-living-stonebridge,stonebridge-assisted-living,1,1,600,Modern one-bedroom with separate bedroom and living space.,https://cdn.prod.website-files.com/65cdea0cc4a584943a230b87/6613b31f5b2977b8506455a9_Photo%20Eleven.webp,,FALSE,"Starting at $6,500/mo",Ask Availability,#tour,2
Studio – Memory Care,studio-memory-care-stonebridge,stonebridge-assisted-living,0,1,400,Secure memory care studio for comfort and peace of mind.,https://cdn.prod.website-files.com/65cdea0cc4a584943a230b87/66165b7aded0a4682a2c2bab_Marquee%20Image%20Three.webp,,FALSE,"Starting at $8,000/mo",Ask Availability,#tour,3
